,month,flat_type,storey_range,floor_area_sqm,flat_model,remaining_lease,region,mrt_dist,no_of_mrt_within_1km,bus_dist,no_of_bus_within_1km,school_dist,no_of_schools_within_1km,school_type,school_level,school_sap,school_ip,resale_price
53316,1,3 ROOM,07 TO 09,67.0,New Generation,780.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,253000.0
53317,1,3 ROOM,01 TO 03,60.0,Improved,792.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,235000.0
53318,1,3 ROOM,07 TO 09,75.0,New Generation,730.0,RCR,1.135262671697118,0,0.20709487083923026,9,0.7210238867991113,1,GOVERNMENT SCHOOL,SECONDARY,0,0,305000.0
53319,1,3 ROOM,10 TO 12,82.0,New Generation,727.0,RCR,1.135262671697118,0,0.20709487083923026,9,0.7210238867991113,1,GOVERNMENT SCHOOL,SECONDARY,0,0,358000.0
53320,1,3 ROOM,10 TO 12,67.0,New Generation,726.0,RCR,0.719873291043645,1,0.0263319396017708,8,0.18815692450771732,4,GOVERNMENT SCHOOL,SECONDARY,0,0,285000.0
53321,1,3 ROOM,13 TO 15,75.0,New Generation,730.0,RCR,1.135262671697118,0,0.20709487083923026,9,0.7210238867991113,1,GOVERNMENT SCHOOL,SECONDARY,0,0,340000.0
53322,1,3 ROOM,01 TO 03,68.0,New Generation,728.0,RCR,0.7682596720489415,1,0.19523104428811613,6,0.3567132008039698,1,GOVERNMENT SCHOOL,PRIMARY,0,0,240000.0
53323,1,3 ROOM,01 TO 03,68.0,New Generation,727.0,RCR,0.266335673184139,1,0.05041466309483715,2,0.3970188400285343,2,GOVERNMENT SCHOOL,PRIMARY,0,0,250000.0
53324,1,3 ROOM,07 TO 09,67.0,New Generation,777.0,RCR,0.266335673184139,1,0.05041466309483715,2,0.3970188400285343,2,GOVERNMENT SCHOOL,PRIMARY,0,0,312000.0
53325,1,3 ROOM,04 TO 06,81.0,New Generation,725.0,RCR,0.266335673184139,1,0.05041466309483715,2,0.3970188400285343,2,GOVERNMENT SCHOOL,PRIMARY,0,0,335000.0
53326,1,4 ROOM,04 TO 06,91.0,New Generation,745.0,RCR,0.7596132526796019,1,0.1802207117481531,9,0.2359665930123297,2,GOVERNMENT SCHOOL,PRIMARY,0,0,428000.0
53327,1,4 ROOM,07 TO 09,98.0,New Generation,684.0,RCR,1.1882576975044703,0,0.03369186765599839,5,0.26164931946250825,4,GOVERNMENT SCHOOL,JUNIOR COLLEGE,0,1,408000.0
53328,1,4 ROOM,04 TO 06,94.0,Model A,1112.0,RCR,0.7938501410714368,1,0.03689082968137258,7,0.3910071652584929,2,GOVERNMENT SCHOOL,SECONDARY,0,0,500000.0
53329,1,4 ROOM,25 TO 27,96.0,Model A,1112.0,RCR,0.8344403159677106,1,0.09067079364867632,6,0.33828293310112895,2,GOVERNMENT SCHOOL,SECONDARY,0,0,750000.0
